COD_Ateneo	NomeEsteso	URL	PEC	Email
101	Università degli studi di Torino	www.unito.it		
102	Politecnico di Torino	www.polito.it		
201	Università degli studi del Piemonte orientale Amedeo Avogadro	www.uniupo.it		
401	Università di Scienze Gastronomiche	www.unisg.it		
701	Università della Valle d'Aosta	www.univda.it		
1001	Università degli studi di Genova	www.unige.it		
1201	Università Carlo Cattaneo (LIUC)	www.liuc.it		
1202	Università degli Studi dell' Insubria	www.uninsubria.it		
1301	Università telematica e-Campus di Novedrate (CO)	www.uniecampus.it		
1501	Università degli Studi di Milano	www.unimi.it		
1502	Politecnico di Milano	www.polimi.it		
1503	Università Commerciale Luigi Bocconi di Milano	www.unibocconi.it		
1504	Università Cattolica del Sacro Cuore	www.unicatt.it		
1505	Libera Università di Lingue e Comunicazione (IULM)	www.iulm.it		
1508	Libera Università Vita-Salute San Raffaele di Milano	www.unisr.it		
1509	Università degli Studi di Milano - Bicocca	www.unimib.it		
1510	Humanitas University	https://www.hunimed.eu/		
1601	Università degli Studi di Bergamo	www.unibg.it		
1701	Università degli Studi di Brescia	www.unibs.it		
1801	Università degli Studi di Pavia	www.unipv.it		
1802	Istituto universitario di studi superiori di Pavia	www.iusspavia.it		
2101	Libera Università di Bolzano	www.unibz.it		
2201	Università degli Studi di Trento	www.unitn.it		
2301	Università degli Studi di Verona	www.univr.it		
2701	Università degli studi Ca' Foscari di Venezia	www.unive.it		
2702	Università Iuav di Venezia	www.iuav.it		
2801	Università degli Studi di Padova	www.unipd.it		
3001	Università degli Studi di Udine	www.uniud.it		
3201	Università degli Studi di Trieste	www.units.it		
3202	Scuola Internazionale Superiore di Studi Avanzati di Trieste	www.sissa.it		
3401	Università degli Studi di Parma	www.unipr.it		
3601	Università degli Studi di Modena e Reggio Emilia	www.unimore.it		
3701	Università degli Studi di Bologna	www.unibo.it		
3801	Università degli Studi di Ferrara	www.unife.it		
4101	Università degli studi Carlo Bo di Urbino	www.uniurb.it		
4201	Università Politecnica delle Marche - Ancona	www.univpm.it		
4301	Università degli Studi di Macerata	www.unimc.it		
4302	Università degli Studi di Camerino	www.unicam.it		
4601	Scuola IMT Alti Studi di Lucca	www.imtlucca.it		
4801	Università degli Studi di Firenze	www.unifi.it		
5001	Università degli Studi di Pisa	www.unipi.it		
5002	Scuola Normale Superiore di Pisa	www.sns.it		
5003	Scuola Superiore di Studi Universitari e Perfezionamento S. Anna di Pisa	www.sssup.it		
5201	Università degli Studi di Siena	www.unisi.it		
5202	Università per stranieri di Siena	www.unistrasi.it		
5401	Università degli Studi di Perugia	www.unipg.it		
5403	Università per stranieri di Perugia	www.unistrapg.it		
5601	Università degli Studi della Tuscia	www.unitus.it		
5801	Università degli Studi di Roma La Sapienza	www.uniroma1.it		
5802	Università degli Studi di Roma Tor Vergata	www.uniroma2.it		
5803	Libera Università Maria SS.Assunta - (LUMSA) di Roma	www.lumsa.it		
5805	Libera Università internazionale degli studi sociali Guido Carli - (LUISS) di Roma	https://www.luiss.it		
5806	Università degli studi di Roma Foro Italico	www.iusm.it		
5807	Università degli Studi Roma Tre	www.uniroma3.it		
5808	Università Campus Bio-medico di Roma	www.unicampus.it		
5809	Università degli Studi Internazionali di Roma – UNINT	www.luspio.it		
5810	Università telematica Guglielmo Marconi di Roma	www.unimarconi.it		
5811	Università telematica Unitelma Sapienza di Roma	www.unitelma.it		
5812	Università Europea di Roma	www.unier.it		
5813	Università telematica internazionale UNINETTUNO di Roma	www.uninettunouniversity.net		
5814	Universitas Mercatorum di Roma	www.unimercatorum.it		
5815	Università telematica Niccolò Cusano di Roma	www.unicusano.it		
5816	Università telematica San Raffaele di Roma - già UNITEL	www.unisanraffaele.gov.it		
5817	Link Campus University di Roma	www.unilink.it		
6001	Università degli Studi di Cassino e del Lazio Meridionale	www.unicas.it		
6201	Università degli Studi del Sannio	www.unisannio.it		
6202	Università telematica Giustino Fortunato di Benevento	www.unifortunato.eu		
6301	Università degli studi di Napoli Federico II	www.unina.it		
6302	Università degli Studi di Napoli - Parthenope	www.uniparthenope.it		
6303	Università degli studi L'Orientale di Napoli	www.unior.it		
6304	Università degli studi Suor Orsola Benincasa di Napoli	www.unisob.na.it		
6306	Seconda Università degli Studi di Napoli	www.unicampania.it		
6307	Universita telematica Pegaso di Napoli	www.unipegaso.it		
6501	Università degli Studi di Salerno	www.unisa.it		
6601	Università degli studi di L'Aquila	www.univaq.it		
6603	Gran Sasso Science Institute - Scuola di dottorato internazionale dell'Aquila	www.gssi.infn.it		
6701	Università degli Studi di Teramo	www.unite.it		
6901	Università degli studi Gabriele D'Annunzio di Chieti e Pescara	www.unich.it		
6902	Università telematica non statale Leonardo da Vinci di Torrevecchia Teatina (CH)	www.unidav.it		
7001	Università degli Studi del Molise	www.unimol.it		
7101	Università degli Studi di Foggia	www.unifg.it		
7201	Università degli Studi di Bari	www.uniba.it		
7202	Politecnico di Bari	www.poliba.it		
7203	Libera Università Mediterranea Jean Monnet	www.lum.it		
7501	Università del Salento	www.unisalento.it		
7601	Università degli studi della Basilicata	www.unibas.it		
7801	Università della Calabria	www.unical.it		
7901	Università degli studi di Catanzaro - Magna Grecia	www.unicz.it		
8001	Università degli studi Mediterranea di Reggio Calabria	www.unirc.it		
8003	Università per stranieri Dante Alighieri di Reggio Calabria	www.unistrada.it		
8201	Università degli Studi di Palermo	www.unipa.it		
8301	Università degli Studi di Messina	www.unime.it		
8601	Libera Università della Sicilia Centrale KORE di Enna	www.unikore.it		
8701	Università degli Studi di Catania	www.unict.it		
9001	Università degli Studi di Sassari	www.uniss.it		
9201	Università degli Studi di Cagliari	www.unica.it		
